[2025-07-07 11:57:57 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/ballfangzaeune-sportplatzsicherung/ has been purged, triggered by action: save_post 
[2025-07-07 11:57:57 : INFO] - Cache for archive page associated with post_type: products and Title: "Ballfangzäune Sportplatzsicherung" has been purged, triggered by action: save_post 
[2025-07-07 11:57:59 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/ballfangzaeune-sportplatzsicherung/ has been purged, triggered by action: save_post 
[2025-07-07 11:57:59 : INFO] - Cache for archive page associated with post_type: products and Title: "Ballfangzäune Sportplatzsicherung" has been purged, triggered by action: save_post 
[2025-07-07 12:11:14 : INFO] - Cache for URL: https://www.diezaunprofis.at/bildergalerie-projekte-und-referenzen/ has been purged, triggered by action: save_post 
[2025-07-07 12:11:16 : INFO] - Cache for URL: https://www.diezaunprofis.at/bildergalerie-projekte-und-referenzen/ has been purged, triggered by action: save_post 
[2025-07-07 12:11:47 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-07 12:11:54 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-07 12:12:29 : INFO] - Cache for URL: https://www.diezaunprofis.at/bildergalerie-projekte-und-referenzen/ has been purged, triggered by action: save_post 
[2025-07-07 12:12:30 : INFO] - Cache for URL: https://www.diezaunprofis.at/bildergalerie-projekte-und-referenzen/ has been purged, triggered by action: save_post 
[2025-07-07 12:17:19 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/ballfangzaeune-sportplatzsicherung/ has been purged, triggered by action: save_post 
[2025-07-07 12:17:19 : INFO] - Cache for archive page associated with post_type: products and Title: "Ballfangzäune Sportplatzsicherung" has been purged, triggered by action: save_post 
[2025-07-07 12:17:21 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/ballfangzaeune-sportplatzsicherung/ has been purged, triggered by action: save_post 
[2025-07-07 12:17:21 : INFO] - Cache for archive page associated with post_type: products and Title: "Ballfangzäune Sportplatzsicherung" has been purged, triggered by action: save_post 
[2025-07-07 12:17:39 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/ballfangzaeune-sportplatzsicherung/ has been purged, triggered by action: save_post 
[2025-07-07 12:17:39 : INFO] - Cache for archive page associated with post_type: products and Title: "Ballfangzäune Sportplatzsicherung" has been purged, triggered by action: save_post 
[2025-07-07 12:17:40 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/ballfangzaeune-sportplatzsicherung/ has been purged, triggered by action: save_post 
[2025-07-07 12:17:40 : INFO] - Cache for archive page associated with post_type: products and Title: "Ballfangzäune Sportplatzsicherung" has been purged, triggered by action: save_post 
[2025-07-07 12:17:55 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/ballfangzaeune-sportplatzsicherung/ has been purged, triggered by action: save_post 
